,fecha,prices_bitcoin,market_caps_bitcoin,total_volumes_bitcoin,prices_ethereum,market_caps_ethereum,total_volumes_ethereum,prices_binancecoin,market_caps_binancecoin,total_volumes_binancecoin,prices_cardano,market_caps_cardano,total_volumes_cardano,prices_dogecoin,market_caps_dogecoin,total_volumes_dogecoin,prices_solana,market_caps_solana,total_volumes_solana,prices_polkadot,market_caps_polkadot,total_volumes_polkadot,prices_matic-network,market_caps_matic-network,total_volumes_matic-network,prices_litecoin,market_caps_litecoin,total_volumes_litecoin,prices_ripple,market_caps_ripple,total_volumes_ripple
27,2020-01-28,9320.806,169518428144.8912,49812761504.1306,175.19,19212409346.36024,14300512538.139254,18.057,2745879946.2703395,237464057.06177658,0.052,1631232520.7140007,286197023.3930493,0.002,300978822.31486434,73912107.34704554,,,,,,,0.017,43794885.866147675,20663598.403444715,60.411,3863812136.663059,3102068140.0402117,0.238,10379406076.854149,2085600978.3634768
28,2020-01-29,9276.894,168738228801.50467,47273353143.75747,173.707,19140249467.28951,15565369994.796808,17.849,2747236096.2496214,241033846.2136708,0.053,1664173788.5694072,258344089.06002605,0.002,293720726.42376184,60908834.3515024,,,,,,,0.017,43730726.77674934,16150754.732371392,59.796,3824926436.1674933,3564120335.75494,0.235,10253939577.564808,1977002934.2965088
29,2020-01-30,9509.805,172993102966.37723,51037775414.9802,184.726,20090242968.224346,18170945326.39071,18.574,2847071752.4987006,252662477.17571872,0.056,1733739134.7114882,220132465.33669615,0.002,299395266.276698,68004034.73337087,,,,,,,0.019,47421676.72873795,34259011.88650341,68.191,4362340214.874027,4859857051.940528,0.243,10605406032.519274,2181535959.948334
30,2020-01-31,9308.06,169340144566.23718,50102814005.68021,179.229,19751392940.997242,18506953476.934044,18.103,2788030152.176015,243240997.98320857,0.054,1685694718.5613482,196053869.98830616,0.002,293883414.0927982,58805204.81953648,,,,,,,0.018,45898827.53726381,24776333.991431013,67.58,4323780791.204591,5388082237.776554,0.238,10415795950.139376,2017282252.7990386
31,2020-02-01,9363.224,170361167834.16483,48307978233.84802,183.337,20079997942.89275,19083817630.29935,18.147,2785023700.2725196,184719237.7135627,0.055,1727198232.6784198,159634518.7845942,0.002,296190766.360422,61580812.41013885,,,,,,,0.018,46751819.92503717,12485400.050393539,70.714,4524804439.512806,5017337673.669914,0.241,10498465190.459534,1716886038.0747964
32,2020-02-02,9338.417,169926610304.08496,55025402183.682236,188.551,20619310835.276108,21543158277.49522,18.43,2828376341.9687476,253345268.4467689,0.056,1737643944.2078435,228621145.91299838,0.002,304050716.34409064,74934190.64597635,,,,,,,0.019,49048838.80978084,26944235.598367445,70.214,4493317029.428309,5238349497.012709,0.249,10897772304.292992,2640052158.2307854
33,2020-02-03,9308.913,169406963182.6937,56824765307.81458,189.862,20791014743.301926,23519056716.26084,18.47,2834950672.338868,173491661.6450308,0.057,1765721504.768992,164518222.31100556,0.002,300528804.91610813,64002051.11978398,,,,,,,0.022,56910919.139514506,66031072.34766809,69.717,4457821018.951326,4336675937.995766,0.254,11100987585.881157,2278216762.8389688
34,2020-02-04,9179.959,167075369075.11478,55377658455.62325,188.842,20665245888.10715,21734656893.64477,18.122,2787798000.3473516,136322480.73723087,0.056,1739481934.7636726,136675263.4672669,0.002,305127579.11080337,61160180.35437329,,,,,,,0.021,53942875.68758145,65757814.68799107,67.984,4351698221.237381,3747064363.1824284,0.266,11609513518.064352,2704937501.8976245
35,2020-02-05,9592.184,174596806174.2994,65675565620.91084,203.859,22414850796.683693,27708721578.171207,19.185,2945748769.8295617,290141371.29324454,0.059,1838841590.66739,156637649.48422155,0.003,317868370.34649044,74945448.71775518,,,,,,,0.021,54839605.08760176,50896522.282275274,72.502,4641494960.067943,4278773732.768424,0.276,12080704084.369738,3007089781.3190074
36,2020-02-06,9744.637,177388314197.5645,71141695218.03949,212.733,23314707733.86607,30730370695.67516,20.606,3157866992.351171,353390568.57729137,0.06,1859115447.0337157,159304871.65236646,0.003,327915495.04639745,68693591.6002877,,,,,,,0.024,62787785.4562619,77950757.20452404,73.354,4696572136.049285,4489773825.683815,0.282,12336435223.046865,2897162400.397639
37,2020-02-07,9799.448,178414902529.15167,69495711755.62915,223.276,24407934017.312393,34073387340.7219,22.125,3395280397.1581664,437168891.0251412,0.06,1859229765.536211,142690306.69238144,0.003,341082966.9310376,74768228.3109035,,,,,,,0.023,59085384.33015085,61445580.9476112,74.319,4741891251.622826,4745575179.732064,0.28,12219130649.62797,2279182999.2916217
38,2020-02-08,9890.702,180081607384.42255,71561797135.19986,223.301,24478412143.01876,35852075948.97941,21.796,3345049428.7296357,294670011.461237,0.06,1871644108.0753887,125903922.22559723,0.003,388530856.4864009,114237107.48269543,,,,,,,0.021,54239566.42726144,73993083.62157409,76.583,4904452844.952262,4304304098.754255,0.277,12120712412.328041,2203834681.657999
39,2020-02-09,10148.38,184792100015.16357,78110955304.52135,228.292,25011126326.73704,37065973224.819984,23.919,3671656947.759465,396099869.5758383,0.062,1913377671.5720093,129259369.74149843,0.003,396943068.4913495,122582884.23405837,,,,,,,0.022,56282734.144922584,44086470.88572015,76.978,4930315943.128947,4224235059.5837073,0.282,12335363077.636406,2235349086.4563556
40,2020-02-10,9890.121,180145850760.05313,81406687324.35088,224.147,24577280465.17777,40180881296.506096,25.253,3882697589.255931,621855205.6001904,0.06,1874732871.0104687,130595621.54528481,0.003,371749850.1071834,104681582.67689836,,,,,,,0.022,55268479.14981362,43117250.873960346,74.319,4760514198.120192,5254999781.873791,0.274,11989933095.065647,2336299972.3317795
41,2020-02-11,10226.926,186262984851.99295,38930644711.90421,236.785,25966283262.662064,17260236147.946793,25.673,3940209442.1202903,513583904.4563307,0.063,1953385977.428038,254958634.87714753,0.003,376342792.7170969,152367638.31450644,,,,,,,0.023,57929277.51047292,36066786.51231338,76.687,4912693706.168165,4447759448.56478,0.281,12264466263.199255,2313861746.3463297
42,2020-02-12,10328.898,188132988212.86746,45456624047.83392,264.033,29001954205.996136,25083848405.774593,26.42,4030446327.5002565,476505354.8734143,0.067,2093147933.2551491,283365264.52459675,0.003,376172783.65998447,153307473.93043435,,,,,,,0.023,58378156.5681915,62228500.91524823,80.848,5187061127.530532,5184886590.259942,0.301,13139923811.820684,3939347661.1381044
43,2020-02-13,10221.26,186190344916.03287,54151236617.55855,267.67,29312880235.867893,31919298278.23887,25.404,3894836056.451729,382278653.96362925,0.068,2135939462.1188762,335446932.6789082,0.003,373973425.0449148,146323760.9897969,,,,,,,0.022,56860013.77422042,45078083.00558369,80.359,5149006006.055332,6608420065.312588,0.323,14128273325.1104,6605455718.645415
44,2020-02-14,10320.157,187680301470.73926,50206573483.049774,284.232,31059453816.69378,32486783383.59592,26.238,4014430330.4323864,421277508.15463513,0.07,2185247021.7657356,253062181.27208945,0.003,382529765.13897663,121465386.01636072,,,,,,,0.023,59345265.830371134,42749886.041165985,82.962,5315269235.8664875,4899300275.804567,0.333,14547897322.234125,4390704528.584524
45,2020-02-15,9894.136,180265718400.57037,51460340288.898056,263.9,28909877146.05339,31021139510.840595,24.066,3694035234.841765,433444195.9497916,0.065,2015733205.697893,242397210.9390732,0.003,365134652.2338547,118598157.54534286,,,,,,,0.021,53140657.20115147,47859748.89979068,76.249,4886813352.26865,4954019471.78071,0.305,13351349272.969727,3430602807.6012707
46,2020-02-16,9943.674,181221481668.7407,42364906261.0548,262.156,28746450516.039288,26307305450.095947,23.642,3616306586.4908743,442399014.6733692,0.063,1964825566.136611,277034923.6330006,0.003,345487246.86260724,129451161.48156218,,,,,,,0.02,51726161.53351232,47665585.20510039,75.307,4827058061.936681,6561956254.102113,0.296,13014571135.584288,3980732101.4108753
47,2020-02-17,9723.605,176547652266.39673,48517591137.467995,267.936,29075052114.63163,28621805406.267815,23.571,3598860680.007088,440300039.5821427,0.06,1871133461.921064,272004390.5090292,0.003,330646020.9088191,121852389.24682634,,,,,,,0.02,51029418.29669148,37131921.53844168,73.477,4669235514.479683,5371763867.476828,0.289,12589617075.790451,3853954524.987112
48,2020-02-18,10133.817,184918071499.10074,54648014949.72496,281.946,31034929114.66128,33038477053.26572,24.025,3691896845.9100976,347593301.5396434,0.063,1952625493.4504642,251750540.3256694,0.003,347694085.36952585,120924221.35645679,,,,,,,0.022,55262008.79617985,40142369.53451841,77.05,4960734597.998579,5159965554.389871,0.297,13006965403.789303,3811855427.8079524
49,2020-02-19,9618.409,175312937106.92148,50502739123.75383,259.184,28662558273.135616,24634102799.07547,22.251,3449518851.48574,288054592.1590407,0.058,1821759622.8737004,228558898.74390647,0.003,329247157.05573463,120435360.74675378,,,,,,,0.02,51167414.531902015,16174453.584263068,70.811,4540377478.676299,4593115888.923358,0.279,12286661487.356989,3177109702.4000826
50,2020-02-20,9608.169,174871048291.16623,53579139400.80847,257.988,28258309183.25315,34355959852.746918,22.14,3400751851.238378,293917888.1928246,0.058,1802782690.6268592,263452977.34373838,0.003,325132840.28354263,163959447.29513237,,,,,,,0.021,52471156.354705244,24033899.12060324,69.521,4466674473.372694,4890559683.772689,0.272,11903878854.716238,3305374380.6193023
51,2020-02-21,9673.012,176701844101.55685,37678167400.71924,265.164,29114570356.366127,18672669187.760765,22.12,3395848277.908833,379734030.4011887,0.059,1829056816.1944566,230599472.21814504,0.003,328355983.4467112,139383775.86398557,,,,,,,0.021,53361966.761425756,33670186.68005343,73.273,4699294666.736681,4962599787.747462,0.274,11994931288.88298,2686108808.308024
52,2020-02-22,9658.606,176097270350.4831,32555342237.084362,260.997,28657670954.134422,14860160863.37393,21.935,3364840516.8519645,308906985.69944227,0.058,1811388698.1183252,166718271.37555096,0.003,323020192.18934584,143129454.88647804,,,,,,,0.021,53019036.52154578,14530943.250439076,74.911,4804883822.079394,4671139764.078064,0.275,12031813176.600395,2170573839.236917
53,2020-02-23,9946.716,181368043820.09412,38743680759.32858,274.631,30135977087.940575,15734092874.96997,22.872,3510096072.4666047,370143216.20063436,0.061,1886303219.5727327,232674655.60882208,0.003,331312903.24520266,167584709.26129562,,,,,,,0.022,57077588.52440526,33653093.507515155,79.666,5110438784.780377,4824912814.003222,0.283,12368568030.53096,2366852812.7249575
54,2020-02-24,9670.961,175872097740.40662,41928789500.12296,265.242,28974292556.854683,21019871769.54907,22.034,3364128427.944973,305719319.9020813,0.059,1843271731.5724761,254977199.08552107,0.003,320780422.6428275,141406806.18826887,,,,,,,0.021,52956396.24060391,29642235.185490247,75.554,4830913141.942744,5556387945.19144,0.272,11885975614.657633,2475554285.309856
55,2020-02-25,9345.343,170478976467.6238,39441760776.318504,248.317,27274600634.783813,15216321566.877127,20.385,3134455973.6722302,292947590.95183,0.057,1763321340.7663302,223975114.0341601,0.002,307640834.485865,159530093.72414365,,,,,,,0.019,49191557.92141669,32359171.633686792,71.306,4572800080.108999,4895640918.751048,0.255,11161956330.394718,2567025289.697201
